date,account_id,account_name,platform,campaign_id,campaign_name,creative_id,creative_name,currency,reporting_timezone,attribution_window,spend,impressions,clicks,purchases,revenue,data_status
"2026-09-09","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","168","8400","168","8","800","complete_test_fixture"
"2026-09-09","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","84","4200","84","4","400","complete_test_fixture"
"2026-09-09","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","84","3360","84","4","400","complete_test_fixture"
"2026-09-09","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","84","3360","84","4","400","complete_test_fixture"
"2026-09-09","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","42","1680","42","4","400","complete_test_fixture"
"2026-09-09","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","42","1680","42","4","400","complete_test_fixture"
"2026-09-10","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","182","9100","182","9","900","complete_test_fixture"
"2026-09-10","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","91","4550","91","4","400","complete_test_fixture"
"2026-09-10","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","91","3640","91","4","400","complete_test_fixture"
"2026-09-10","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","91","3640","91","4","400","complete_test_fixture"
